"Step","128 - rollout/ep_rew_mean","128 - rollout/ep_rew_mean__MIN","128 - rollout/ep_rew_mean__MAX","64 - rollout/ep_rew_mean","64 - rollout/ep_rew_mean__MIN","64 - rollout/ep_rew_mean__MAX","32 - rollout/ep_rew_mean","32 - rollout/ep_rew_mean__MIN","32 - rollout/ep_rew_mean__MAX"
"65","-0.9651877284049988","-0.9651877284049988","-0.9651877284049988","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"66","-0.9651877284049988","-0.9651877284049988","-0.9651877284049988","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"67","-0.9651877284049988","-0.9651877284049988","-0.9651877284049988","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"68","-0.9651877284049988","-0.9651877284049988","-0.9651877284049988","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"69","-0.9651877284049988","-0.9651877284049988","-0.9651877284049988","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"70","-0.825016975402832","-0.825016975402832","-0.825016975402832","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"71","-0.825016975402832","-0.825016975402832","-0.825016975402832","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"72","-0.825016975402832","-0.825016975402832","-0.825016975402832","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"73","-0.825016975402832","-0.825016975402832","-0.825016975402832","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"74","-0.825016975402832","-0.825016975402832","-0.825016975402832","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"75","-0.825016975402832","-0.825016975402832","-0.825016975402832","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"76","-0.5933998227119446","-0.5933998227119446","-0.5933998227119446","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"77","-0.5933998227119446","-0.5933998227119446","-0.5933998227119446","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"78","-0.5933998227119446","-0.5933998227119446","-0.5933998227119446","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"79","-0.5933998227119446","-0.5933998227119446","-0.5933998227119446","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"80","-0.5933998227119446","-0.5933998227119446","-0.5933998227119446","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"81","-0.5933998227119446","-0.5933998227119446","-0.5933998227119446","-2.7048091888427734","-2.7048091888427734","-2.7048091888427734","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"82","-0.18681347370147705","-0.18681347370147705","-0.18681347370147705","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"83","-0.18681347370147705","-0.18681347370147705","-0.18681347370147705","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"84","-0.18681347370147705","-0.18681347370147705","-0.18681347370147705","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"85","-0.18681347370147705","-0.18681347370147705","-0.18681347370147705","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"86","-0.18681347370147705","-0.18681347370147705","-0.18681347370147705","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"87","-0.04807380959391594","-0.04807380959391594","-0.04807380959391594","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"88","-0.04807380959391594","-0.04807380959391594","-0.04807380959391594","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"89","-0.04807380959391594","-0.04807380959391594","-0.04807380959391594","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"90","-0.04807380959391594","-0.04807380959391594","-0.04807380959391594","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"91","-0.04807380959391594","-0.04807380959391594","-0.04807380959391594","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"92","-0.04807380959391594","-0.04807380959391594","-0.04807380959391594","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264","-4.72563362121582","-4.72563362121582","-4.72563362121582"
"93","0.18388430774211884","0.18388430774211884","0.18388430774211884","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"94","0.18388430774211884","0.18388430774211884","0.18388430774211884","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"95","0.18388430774211884","0.18388430774211884","0.18388430774211884","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"96","0.18388430774211884","0.18388430774211884","0.18388430774211884","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"97","0.18388430774211884","0.18388430774211884","0.18388430774211884","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"98","0.18388430774211884","0.18388430774211884","0.18388430774211884","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"99","0.27080705761909485","0.27080705761909485","0.27080705761909485","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"100","0.27080705761909485","0.27080705761909485","0.27080705761909485","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"101","0.27080705761909485","0.27080705761909485","0.27080705761909485","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"102","0.27080705761909485","0.27080705761909485","0.27080705761909485","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"103","0.27080705761909485","0.27080705761909485","0.27080705761909485","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"104","0.27080705761909485","0.27080705761909485","0.27080705761909485","-2.183725118637085","-2.183725118637085","-2.183725118637085","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"105","0.4508432149887085","0.4508432149887085","0.4508432149887085","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"106","0.4508432149887085","0.4508432149887085","0.4508432149887085","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"107","0.4508432149887085","0.4508432149887085","0.4508432149887085","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"108","0.4508432149887085","0.4508432149887085","0.4508432149887085","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"109","0.4508432149887085","0.4508432149887085","0.4508432149887085","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"110","0.4508432149887085","0.4508432149887085","0.4508432149887085","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"111","0.5019146203994751","0.5019146203994751","0.5019146203994751","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"112","0.5019146203994751","0.5019146203994751","0.5019146203994751","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"113","0.5019146203994751","0.5019146203994751","0.5019146203994751","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"114","0.5019146203994751","0.5019146203994751","0.5019146203994751","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"115","0.5019146203994751","0.5019146203994751","0.5019146203994751","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"116","0.5019146203994751","0.5019146203994751","0.5019146203994751","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548","-4.6574788093566895","-4.6574788093566895","-4.6574788093566895"
"117","0.5269269943237305","0.5269269943237305","0.5269269943237305","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"118","0.5269269943237305","0.5269269943237305","0.5269269943237305","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"119","0.5269269943237305","0.5269269943237305","0.5269269943237305","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"120","0.5269269943237305","0.5269269943237305","0.5269269943237305","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"121","0.5269269943237305","0.5269269943237305","0.5269269943237305","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"122","0.5269269943237305","0.5269269943237305","0.5269269943237305","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"123","0.6002196669578552","0.6002196669578552","0.6002196669578552","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"124","0.6002196669578552","0.6002196669578552","0.6002196669578552","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"125","0.6002196669578552","0.6002196669578552","0.6002196669578552","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
"126","0.6002196669578552","0.6002196669578552","0.6002196669578552","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583","-4.353790760040283","-4.353790760040283","-4.353790760040283"
