"Step","Batch Size = 32768 - rollout/ep_rew_mean","Batch Size = 32768 - rollout/ep_rew_mean__MIN","Batch Size = 32768 - rollout/ep_rew_mean__MAX","Batch Size = 16384 - rollout/ep_rew_mean","Batch Size = 16384 - rollout/ep_rew_mean__MIN","Batch Size = 16384 - rollout/ep_rew_mean__MAX","Batch Size = 8192 - rollout/ep_rew_mean","Batch Size = 8192 - rollout/ep_rew_mean__MIN","Batch Size = 8192 - rollout/ep_rew_mean__MAX","Batch Size = 2048 - rollout/ep_rew_mean","Batch Size = 2048 - rollout/ep_rew_mean__MIN","Batch Size = 2048 - rollout/ep_rew_mean__MAX"
"31","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"32","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"33","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"34","-4.671811580657959","-4.671811580657959","-4.671811580657959","-4.252060890197754","-4.252060890197754","-4.252060890197754","-3.5451509952545166","-3.5451509952545166","-3.5451509952545166","-2.7100532054901123","-2.7100532054901123","-2.7100532054901123"
"35","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"36","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"37","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"38","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"39","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"40","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"41","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"42","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"43","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"44","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"45","-4.308755397796631","-4.308755397796631","-4.308755397796631","-3.499506950378418","-3.499506950378418","-3.499506950378418","-2.8849825859069824","-2.8849825859069824","-2.8849825859069824","-1.5267388820648193","-1.5267388820648193","-1.5267388820648193"
"46","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"47","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"48","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"49","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"50","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"51","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"52","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
"53","-3.9552977085113525","-3.9552977085113525","-3.9552977085113525","-3.009773015975952","-3.009773015975952","-3.009773015975952","-2.318664073944092","-2.318664073944092","-2.318664073944092","-0.7174423933029175","-0.7174423933029175","-0.7174423933029175"
