"Step","With Normalization - rollout/ep_rew_mean","With Normalization - rollout/ep_rew_mean__MIN","With Normalization - rollout/ep_rew_mean__MAX","Without Normalization - rollout/ep_rew_mean","Without Normalization - rollout/ep_rew_mean__MIN","Without Normalization - rollout/ep_rew_mean__MAX"
"103","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"104","0.22007714211940765","0.22007714211940765","0.22007714211940765","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"105","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"106","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"107","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"108","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"109","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"110","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"111","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"112","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"113","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"114","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"115","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"116","0.4502764642238617","0.4502764642238617","0.4502764642238617","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"117","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"118","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"119","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"120","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"121","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"122","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"123","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"124","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"125","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"126","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"127","0.5068155527114868","0.5068155527114868","0.5068155527114868","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"128","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"129","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"130","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"131","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"132","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"133","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"134","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"135","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"136","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"137","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"138","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"139","0.6218475103378296","0.6218475103378296","0.6218475103378296","-1.3409029245376587","-1.3409029245376587","-1.3409029245376587"
"140","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"141","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"142","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"143","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"144","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"145","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"146","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"147","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"148","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"149","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"150","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"151","0.6471210718154907","0.6471210718154907","0.6471210718154907","-0.8289859294891357","-0.8289859294891357","-0.8289859294891357"
"152","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"153","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"154","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"155","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"156","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"157","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"158","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"159","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"160","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"161","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"162","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"163","0.6284952759742737","0.6284952759742737","0.6284952759742737","-0.5720217823982239","-0.5720217823982239","-0.5720217823982239"
"164","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"165","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"166","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"167","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"168","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"169","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"170","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"171","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"172","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"173","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"174","0.7021268606185913","0.7021268606185913","0.7021268606185913","-0.15566420555114746","-0.15566420555114746","-0.15566420555114746"
"175","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"176","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"177","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"178","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"179","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"180","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"181","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"182","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"183","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"184","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"185","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"186","0.7229065895080566","0.7229065895080566","0.7229065895080566","0.0016004424542188644","0.0016004424542188644","0.0016004424542188644"
"187","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"188","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"189","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"190","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"191","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"192","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"193","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"194","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"195","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"196","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"197","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"198","0.7866182923316956","0.7866182923316956","0.7866182923316956","0.17379872500896454","0.17379872500896454","0.17379872500896454"
"199","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"200","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"201","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"202","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"203","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"204","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
"205","0.7861089706420898","0.7861089706420898","0.7861089706420898","0.2671479880809784","0.2671479880809784","0.2671479880809784"
