"Step","Absolute Mode - rollout/ep_rew_mean","Absolute Mode - rollout/ep_rew_mean__MIN","Absolute Mode - rollout/ep_rew_mean__MAX","Relative Mode - rollout/ep_rew_mean","Relative Mode - rollout/ep_rew_mean__MIN","Relative Mode - rollout/ep_rew_mean__MAX"
"92","-0.509423017501831","-0.509423017501831","-0.509423017501831","-2.3718669414520264","-2.3718669414520264","-2.3718669414520264"
"93","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"94","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"95","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"96","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"97","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"98","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"99","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"100","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"101","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"102","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"103","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"104","-0.16890445351600647","-0.16890445351600647","-0.16890445351600647","-2.183725118637085","-2.183725118637085","-2.183725118637085"
"105","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"106","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"107","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"108","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"109","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"110","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"111","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"112","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"113","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"114","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"115","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"116","0.0030748366843909025","0.0030748366843909025","0.0030748366843909025","-1.9667106866836548","-1.9667106866836548","-1.9667106866836548"
"117","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"118","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"119","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"120","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"121","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"122","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"123","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"124","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"125","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
"126","0.1466316282749176","0.1466316282749176","0.1466316282749176","-1.7723313570022583","-1.7723313570022583","-1.7723313570022583"
