"Step","Run 1 - rollout/ep_rew_mean","Run 1 - rollout/ep_rew_mean__MIN","Run 1 - rollout/ep_rew_mean__MAX","Run 2 - rollout/ep_rew_mean","Run 2 - rollout/ep_rew_mean__MIN","Run 2 - rollout/ep_rew_mean__MAX"
"57","-50.385257720947266","-50.385257720947266","-50.385257720947266","-50.43334197998047","-50.43334197998047","-50.43334197998047"
"58","-50.35071563720703","-50.35071563720703","-50.35071563720703","-50.45987319946289","-50.45987319946289","-50.45987319946289"
"59","-50.37510299682617","-50.37510299682617","-50.37510299682617","-50.41050720214844","-50.41050720214844","-50.41050720214844"
"60","-50.35841369628906","-50.35841369628906","-50.35841369628906","-50.453678131103516","-50.453678131103516","-50.453678131103516"
"61","-50.31390380859375","-50.31390380859375","-50.31390380859375","-50.421714782714844","-50.421714782714844","-50.421714782714844"
"62","-50.27638244628906","-50.27638244628906","-50.27638244628906","-50.383323669433594","-50.383323669433594","-50.383323669433594"
"63","-50.31913375854492","-50.31913375854492","-50.31913375854492","-50.4940185546875","-50.4940185546875","-50.4940185546875"
"64","-50.37532424926758","-50.37532424926758","-50.37532424926758","-50.403106689453125","-50.403106689453125","-50.403106689453125"
"65","-50.30301284790039","-50.30301284790039","-50.30301284790039","-50.470489501953125","-50.470489501953125","-50.470489501953125"
"66","-50.367095947265625","-50.367095947265625","-50.367095947265625","-50.47581100463867","-50.47581100463867","-50.47581100463867"
"68","-50.334388732910156","-50.334388732910156","-50.334388732910156","-50.40693664550781","-50.40693664550781","-50.40693664550781"
