"Step","[256,128,64] - rollout/ep_rew_mean","[256,128,64] - rollout/ep_rew_mean__MIN","[256,128,64] - rollout/ep_rew_mean__MAX","[256,128] - rollout/ep_rew_mean","[256,128] - rollout/ep_rew_mean__MIN","[256,128] - rollout/ep_rew_mean__MAX","[128,64] - rollout/ep_rew_mean","[128,64] - rollout/ep_rew_mean__MIN","[128,64] - rollout/ep_rew_mean__MAX"
"106","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"107","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"108","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"109","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"110","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"111","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"112","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"113","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"114","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"115","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"116","-0.274213582277298","-0.274213582277298","-0.274213582277298","-1.132333517074585","-1.132333517074585","-1.132333517074585","-2.869764804840088","-2.869764804840088","-2.869764804840088"
"117","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"118","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"119","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"120","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"121","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"122","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"123","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"124","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"125","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"126","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"127","0.09010167419910431","0.09010167419910431","0.09010167419910431","-0.8626062870025635","-0.8626062870025635","-0.8626062870025635","-2.514859437942505","-2.514859437942505","-2.514859437942505"
"128","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"129","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
"130","0.26425811648368835","0.26425811648368835","0.26425811648368835","-0.6458156704902649","-0.6458156704902649","-0.6458156704902649","-2.2329835891723633","-2.2329835891723633","-2.2329835891723633"
