"Step","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MIN","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MAX","Act. Rate (-1.0) - rollout/ep_rew_mean","Act. Rate (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate (-1.0) - rollout/ep_rew_mean__MAX","Act. Rate Pos (-1.0) - rollout/ep_rew_mean","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MAX"
"53","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"54","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"55","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"56","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"57","-3.7136833667755127","-3.7136833667755127","-3.7136833667755127","-3.056178569793701","-3.056178569793701","-3.056178569793701","-3.520866632461548","-3.520866632461548","-3.520866632461548"
"58","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"59","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"60","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"61","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"62","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"63","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"64","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"65","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"66","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"67","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
"68","-3.2212419509887695","-3.2212419509887695","-3.2212419509887695","-2.581559658050537","-2.581559658050537","-2.581559658050537","-2.9684741497039795","-2.9684741497039795","-2.9684741497039795"
