time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/entropy_loss,train/explained_variance,train/loss,train/std,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
14912,84410368,161,5660,0.0001,-3.285614020191133,0.5130071640014648,-0.032507479190826416,0.40319567918777466,0.051788330078125,0.0049350043,1280,0.0005123233042922948,0.2,0.0007784588535741932,-0.1203822810202837,360.0
14923,84934656,162,5691,0.0001,-3.235040718689561,0.9179709479212761,-0.03535521775484085,0.3979167342185974,0.05288076400756836,0.0052361647,1288,-0.0010547455051437282,0.2,6.965201815489763e-05,-0.1203822810202837,360.0
14934,85458944,163,5722,0.0001,-3.194535756483674,0.6475374102592468,-0.030826158821582794,0.39820876717567444,0.05546927452087402,0.005359062,1296,0.0006547663751916843,0.2,0.0009776476381375687,-0.1203822810202837,360.0
14941,85983232,164,5754,0.0001,-3.1525516863912344,0.9398329369723797,-0.03360757231712341,0.3942969739437103,0.06131458282470703,0.007087644,1304,-0.0005148505599663622,0.2,6.706096719710786e-05,-0.1628579504461959,360.0
14952,86507520,165,5785,0.0001,-3.1130316834896803,0.2619550824165344,-0.02940845862030983,0.3934027850627899,0.051198482513427734,0.005271699,1312,0.00019442288430582266,0.2,0.00030437840644026437,-0.1628579504461959,360.0
14963,87031808,166,5816,0.0001,-3.0974267972633243,0.16916310787200928,-0.030231459066271782,0.39253073930740356,0.0519556999206543,0.005869827,1320,0.0005764069294400542,0.2,0.0005993961519834556,-0.1628579504461959,360.0
14975,87556096,167,5846,0.0001,-3.05360946059227,0.8885719180107117,-0.031926482915878296,0.38927048444747925,0.05331921577453613,0.005017136,1328,-0.0002595421535716014,0.2,0.00014492350777572938,-0.1628579504461959,360.0
14984,88080384,168,5878,0.0001,-3.025231801904738,0.604261189699173,-0.02372724562883377,0.38917386531829834,0.054178714752197266,0.0054360945,1336,0.000635441763961353,0.2,0.0008357493334187893,-0.1628579504461959,360.0
14988,88604672,169,5911,0.0001,-2.9966615280136466,0.9180600270628929,-0.030019883066415787,0.3865292966365814,0.06377220153808594,0.0067046983,1344,0.00015052459207254287,0.2,0.0001654708290743656,-0.07407478909473866,360.0
14999,89128960,170,5942,0.0001,-2.973571819253266,0.6651456952095032,-0.030046356841921806,0.38651373982429504,0.05877971649169922,0.0050208173,1352,0.0008482251482746506,0.2,0.0005416304686605145,-0.07407478909473866,360.0
15010,89653248,171,5972,0.0001,-2.8695035418495536,0.707811564207077,-0.03376439958810806,0.37776535749435425,0.059697628021240234,0.006777905,1360,-0.0039412355990862125,0.2,3.196278962747101e-05,-0.07407478909473866,360.0
