time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
18726,63963136,3415,122,922,0.0006402402650564909,0.0001,0.2,0.8735309690237045,0.00013515416939569036,0.15993070602416992,-0.004353831783760143,0.12617182731628418,4.905439188005403,0.0120785665,1.0033017414808274,360.0
18727,64487424,3443,123,930,0.006039275787770748,0.0001,0.2,0.35059893131256104,0.001734087655620442,0.12998723983764648,0.0016976429760973133,0.12501689791679382,4.968476438894868,0.009709756,1.0033017414808274,360.0
18721,65011712,3472,124,938,-0.001014605280943215,0.0001,0.2,0.8564790636301041,0.00011993199940008026,0.16648411750793457,-0.005789543999952684,0.12230950593948364,5.102604232728481,0.012466794,1.0223976540565491,360.0
18721,65536000,3500,125,946,0.0065912483260035515,0.0001,0.2,0.0674561858177185,0.010761535633719177,0.1272265911102295,0.002807915878179301,0.12181368470191956,5.137419194448739,0.009627185,1.0223976540565491,360.0
18722,66060288,3528,126,954,0.0021306760609149933,0.0001,0.2,0.7108600735664368,0.0001860880479256366,0.15807676315307617,-0.004477003455235717,0.11959268152713776,5.2483197478577495,0.013262043,1.0223976540565491,360.0
18751,66584576,3550,127,955,0.00951369572430849,0.0001,0.2,0.3545265197753906,0.0014678900220299735,0.1283361624672775,0.003002377524386838,0.11902701109647751,5.270620593225769,0.009734507,1.0223976540565491,360.0
18753,67108864,3578,128,963,-0.001483356929384172,0.0001,0.2,0.8316460251808167,0.00013867459889382872,0.15832853317260742,-0.003870753857853515,0.11670134961605072,5.400066573172808,0.01184742,1.0223976540565491,360.0
18755,67633152,3606,129,971,0.006873497273772955,0.0001,0.2,0.3870100975036621,0.0014046654477510856,0.14061975479125977,0.0020858322952221897,0.11587266623973846,5.456393987638876,0.010366901,1.0223976540565491,360.0
18750,68157440,3634,130,979,0.0023059758823364973,0.0001,0.2,0.8625870794057846,0.00011778337616874524,0.15996646881103516,-0.004190580570138991,0.11356183141469955,5.578178221127018,0.012119998,1.0325141096115111,360.0
18752,68681728,3662,131,987,0.008280383422970772,0.0001,0.2,0.049036622047424316,0.012885484835805983,0.1300034523010254,0.0031242523180026183,0.11320938915014267,5.609839820768684,0.00974696,1.0325141096115111,360.0
18754,69206016,3690,132,995,0.006556075997650623,0.0001,0.2,0.7675801664590836,0.00016009596084387567,0.16026759147644043,-0.0031443095203940175,0.11150883138179779,5.698524757986888,0.011738572,1.0325141096115111,360.0
18756,69730304,3717,133,1003,0.003778684651479125,0.0001,0.2,0.40828174352645874,0.0014683877502079667,0.14752435684204102,0.0022330303717694733,0.11051005125045776,5.757071482483298,0.010790864,1.0325141096115111,360.0
18782,70254592,3740,134,1005,0.0017208022763952613,0.0001,0.2,0.8748340159654617,0.00013789948539054072,0.14526433710831063,-0.001950874990321777,0.1085810512304306,5.831389705231794,0.01145726,1.0325141096115111,360.0
18778,70778880,3769,135,1013,0.00895710103213787,0.0001,0.2,0.47224366664886475,0.0013042657279811465,0.16585040092468262,0.0023253852714333334,0.10757753252983093,5.925886867567897,0.012262542,1.0383543837070466,360.0
18779,71303168,3796,136,1021,0.007382361218333244,0.0001,0.2,0.02924102544784546,0.013937659798557434,0.12933635711669922,0.002713566989740457,0.10727515816688538,5.952377769164741,0.009654814,1.0383543837070466,360.0
18782,71827456,3824,137,1029,0.004684765823185444,0.0001,0.2,0.6366604268550873,0.0001823245566114906,0.12694549560546875,0.003698262718614842,0.10624267160892487,6.005419459193945,0.010283565,1.0383543837070466,360.0
18784,72351744,3851,138,1037,0.010898140259087086,0.0001,0.2,0.3233555555343628,0.0017011736139806999,0.14331841468811035,0.002627747242570422,0.10555603355169296,6.054678857792169,0.010511577,1.0383543837070466,360.0
