time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
106430464,203,7306,14565,4.494119215081582e-05,-0.019069109112024307,0.2,0.04647564888000488,0.33541202545166016,1616,0.0001,-0.0003409711366657575,0.0047476897,0.900048740208149,-1.885815190616995,0.5728886424005032,360.0
106954752,204,7337,14576,0.0005464026999106864,-0.01711653359234333,0.2,0.05469870567321777,0.3360285758972168,1624,0.0001,5.490209355230036e-05,0.0057152854,0.5033546984195709,-1.8739042659290135,0.5728886424005032,360.0
107479040,205,7368,14585,2.8143848858519505e-05,-0.019380491226911545,0.2,0.050589561462402344,0.3303762674331665,1632,0.0001,-0.002284785939991707,0.0062123635,0.5927547812461853,-1.8087071203626692,0.5728886424005032,360.0
108003328,206,7400,14593,0.0010826937896126765,-0.017480725422501564,0.2,0.04612016677856445,0.331516295671463,1640,0.0001,0.000495901126669196,0.004547481,0.4590749740600586,-1.7862216560170054,0.5728886424005032,360.0
108527616,207,7431,14603,3.350828544768092e-05,-0.018730973824858665,0.2,0.049224853515625,0.32850027084350586,1648,0.0001,-0.0007681140702970879,0.0052786646,0.8644671142101288,-1.7578792246058583,0.5728886424005032,360.0
109051904,208,7463,14612,0.0010779161862046749,-0.018083563074469566,0.2,0.04945635795593262,0.3293273150920868,1656,0.0001,0.00028938760692653887,0.0048860745,0.5610412359237671,-1.7476669582538307,0.5728886424005032,360.0
109576192,209,7495,14618,4.3777552079404813e-05,-0.01779926009476185,0.2,0.046662092208862305,0.3269859850406647,1664,0.0001,-0.00044747841002390487,0.0049900385,0.9256758317351341,-1.7252249424345791,0.5705901646986604,360.0
110100480,210,7527,14627,0.00041829192525710823,-0.016288282349705696,0.2,0.05999159812927246,0.32758623361587524,1672,0.0001,9.980726713365584e-05,0.006055232,0.475225031375885,-1.7140817698091269,0.5705901646986604,360.0
110624768,211,7558,14636,0.0009411059884314454,-0.016195524483919144,0.2,0.04004716873168945,0.32828769087791443,1680,0.0001,0.0004010619309156027,0.004637911,0.07376253604888916,-1.7261320445686579,0.5705901646986604,360.0
111149056,212,7589,14644,9.423155773902181e-05,-0.016699867323040962,0.2,0.04764246940612793,0.32732999324798584,1688,0.0001,-0.0005433541583670376,0.0051259943,0.9239675551652908,-1.7185825780034065,0.5705901646986604,360.0
111673344,213,7620,14654,0.0011769957823162258,-0.016613421961665154,0.2,0.0479435920715332,0.3282071352005005,1696,0.0001,0.0004529683160399145,0.0046701385,0.44764065742492676,-1.7221598480828106,0.5705901646986604,360.0
112197632,214,7654,14657,6.377075941088606e-05,-0.018756277859210968,0.2,0.05046486854553223,0.32626956701278687,1704,0.0001,-0.0005671546114172088,0.004879552,0.9282056540250778,-1.706282296217978,0.5514042063057423,360.0
